Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.43.173-210.160.193.173-50412-443-6,192.168.43.173,50412,210.160.193.173,443,6,06/06/2019 10:03:26 PM,5813681,9,12,1879.0,4166.0,555.0,0.0,208.77777777777777,255.6358629857017,1288.0,0.0,347.1666666666667,512.4736504682386,1039.7887328183297,3.612169295150525,290684.05,567510.6712146222,1911721.0,4.0,4698680.0,587335.0,817692.1360061412,1990579.0,969.0,5813681.0,528516.4545454546,753777.4503628195,1967345.0,4.0,0,0,0,0,288,412,1.5480725550645107,2.0640967400860144,0.0,1288.0,274.77272727272725,413.424022134566,170919.4220779221,0,1,0,0,0,0,0,0,1.0,287.85714285714283,208.77777777777777,347.1666666666667,0,0,0,0,0,0,9,1879,12,4166,-1,30,5,0,0,0,0,0,0,0,0,0,No Label
192.168.43.173-210.160.193.173-50412-443-6,192.168.43.173,50412,210.160.193.173,443,6,06/06/2019 10:03:31 PM,979,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042.9009193054135,979.0,0.0,979.0,979.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1021.4504596527067,1021.4504596527067,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,329,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.173-210.160.193.173-50414-443-6,192.168.43.173,50414,210.160.193.173,443,6,06/06/2019 10:03:26 PM,8413875,9,10,769.0,3764.0,517.0,0.0,85.44444444444444,170.78283806570784,1288.0,0.0,376.40000000000003,553.4582589901829,538.7529527120381,2.2581747411270072,467437.5,875890.3507595437,3168159.0,24.0,7727791.0,965973.875,1706840.3852223088,4954367.0,1332.0,8413875.0,934875.0,1132220.6392692416,3168159.0,253.0,0,0,0,0,288,348,1.069661719481214,1.1885130216457933,0.0,1288.0,226.64999999999992,425.82740202550315,181328.97631578948,0,1,0,0,0,0,0,0,1.0,238.57894736842104,85.44444444444444,376.4,0,0,0,0,0,0,9,769,10,3764,-1,28,3,0,0,0,0,0,0,0,0,0,No Label
192.168.43.173-210.160.193.173-50414-443-6,192.168.43.173,50414,210.160.193.173,443,6,06/06/2019 10:03:34 PM,726403,2,1,552.0,0.0,552.0,0.0,276.0,390.32294321497426,0.0,0.0,0.0,0.0,759.908755883442,4.129938890670881,363201.5,513563.87700119644,726346.0,57.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,0,0,0,0,64,32,2.7532925937805874,1.3766462968902937,0.0,552.0,138.0,276.0,76176.0,0,0,0,0,1,0,0,0,0.0,184.0,276.0,0.0,0,0,0,0,0,0,2,552,1,0,-1,309,1,0,0,0,0,0,0,0,0,0,No Label
192.168.43.173-210.160.193.172-48336-443-6,192.168.43.173,48336,210.160.193.172,443,6,06/06/2019 10:03:35 PM,2259420,7,10,1195.0,4160.0,552.0,0.0,170.71428571428572,252.93788057262486,1288.0,0.0,416.0,536.8734591233871,2370.0772764691824,7.524054845933913,141213.75,249141.97952051356,746425.0,8.0,1337212.0,222868.6666666667,332519.9818709647,747937.0,373.0,2259420.0,251046.66666666666,294925.2811319335,753791.0,8.0,0,0,0,0,224,336,3.09814023067867,4.425914615255243,0.0,1288.0,297.5,441.8819711988578,195259.6764705882,0,1,0,0,0,0,0,0,1.0,315.0,170.71428571428572,416.0,0,0,0,0,0,0,7,1195,10,4160,-1,30,3,0,0,0,0,0,0,0,0,0,No Label
192.168.43.173-210.160.193.173-50456-443-6,192.168.43.173,50456,210.160.193.173,443,6,06/06/2019 10:03:35 PM,2602707,7,10,1205.0,4166.0,552.0,0.0,172.14285714285714,255.2374244838379,1358.0,0.0,416.6,552.0127212704834,2063.6206841569183,6.531661074412141,162669.1875,298563.40021492227,882319.0,12.0,1664611.0,277435.1666666667,419949.75380272185,883731.0,293.0,2602707.0,289189.6666666667,356833.3325927526,887198.0,12.0,0,0,0,0,224,336,2.6895075012285283,3.8421535731836123,0.0,1358.0,298.3888888888889,452.03333282726845,204334.13398692806,0,1,0,0,0,0,0,0,1.0,315.94117647058823,172.14285714285714,416.6,0,0,0,0,0,0,7,1205,10,4166,-1,33,3,0,0,0,0,0,0,0,0,0,No Label
192.168.43.173-210.160.193.173-50460-443-6,192.168.43.173,50460,210.160.193.173,443,6,06/06/2019 10:03:35 PM,2829625,8,9,653.0,3764.0,527.0,0.0,81.625,185.28120519901634,1288.0,0.0,418.2222222222223,570.0247314322813,1560.984229359014,6.007863232760525,176851.5625,319170.86219452403,938718.0,18.0,2405021.0,343574.4285714286,434071.8892130109,938761.0,401.0,2829625.0,353703.125,402237.95399611676,990267.0,184.0,0,0,0,0,256,304,2.827229756593188,3.1806334761673365,0.0,1288.0,245.38888888888894,446.1163312923565,199019.7810457516,0,1,0,0,0,0,0,0,1.0,259.8235294117647,81.625,418.22222222222223,0,0,0,0,0,0,8,653,9,3764,-1,28,2,0,0,0,0,0,0,0,0,0,No Label
192.168.43.173-103.229.10.249-57664-443-6,192.168.43.173,57664,103.229.10.249,443,6,06/06/2019 10:03:26 PM,13667749,10,9,1286.0,3432.0,517.0,0.0,128.6,211.06881447633245,1288.0,0.0,381.3333333333333,576.6040669298128,345.19217465875323,1.3901338106223635,759319.388888889,2386612.5261651687,1.0227088E7,22.0,1.3475606E7,1497289.5555555555,3321225.8710102853,1.0227088E7,1653.0,3397238.0,424654.75,599670.5910232837,1648561.0,327.0,0,0,0,0,320,316,0.7316493740117703,0.6584844366105933,0.0,1288.0,235.90000000000003,424.3799067618045,180098.30526315788,0,1,0,0,0,0,0,0,0.0,248.31578947368422,128.6,381.3333333333333,0,0,0,0,0,0,10,1286,9,3432,-1,106,4,0,0,0,0,0,0,0,0,0,No Label
192.168.43.173-103.229.10.249-57664-443-6,103.229.10.249,443,192.168.43.173,57664,6,06/06/2019 10:03:40 PM,78,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,397435.89743589744,38461.53846153846,39.0,16.97056274847714,51.0,27.0,0,0,0,0,0,51.0,51.0,0.0,51.0,51.0,0,1,0,0,32,52,12820.51282051282,25641.02564102564,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.173-210.160.193.172-48338-443-6,192.168.43.173,48338,210.160.193.172,443,6,06/06/2019 10:03:35 PM,7116560,8,9,643.0,3758.0,517.0,0.0,80.375,181.84918201630714,1358.0,0.0,417.55555555555554,585.0598497399884,618.4167631552323,2.388794586148364,444785.0,1265323.4357408122,5076634.0,18.0,6627441.0,946777.2857142857,1859588.8220221081,5076655.0,484.0,7116560.0,889570.0,1743870.2849931242,5118752.0,39.0,0,0,0,0,256,304,1.1241386287757007,1.2646559573726632,0.0,1358.0,244.5,454.6915243909228,206744.38235294115,0,1,0,0,0,0,0,0,1.0,258.88235294117646,80.375,417.55555555555554,0,0,0,0,0,0,8,643,9,3758,-1,31,2,0,2039887.0,0.0,2039887.0,2039887.0,5076634.0,0.0,5076634.0,5076634.0,No Label
